id,vendor_id,vendor_name,invoice_number,amount,amount_paid,due_date,status,created_at,updated_at
0a4ad032-4495-4048-a43f-64cb9c19cdf6,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 5477 Closed Date 01/09/20",752.71,0.00,2020-01-31,overdue,,2026-05-07 01:00:00.207702
0bc01647-0a9c-44e6-b2a8-85d7f079b32d,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK -  8125 01/06/20",1975.14,1975.14,2020-01-31,paid,,
6800ca7e-2842-4cf9-8950-a83f83a9642e,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 3037 - 01/24/2020  Actual $13,857.22",13857.22,0.00,2020-01-31,overdue,,2026-05-07 01:00:00.207702
68dfb8c0-3818-4165-8c72-9c3437209bc5,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 1622 - 01/06/20",2525.58,2525.58,2020-01-31,paid,,
7f279105-0ce1-40fb-b802-e6c1880cac49,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",13217.00,0.00,2020-01-31,overdue,,2026-05-07 01:00:00.207702
93ef1e8b-e685-4914-a8d0-c8ced4caa494,8980e7a3-25fe-5346-8d06-7f93531b3ddc,"American Express Closing Date","American Express Closing Date 01/24/20",3841.35,0.00,2020-01-31,overdue,,2026-05-07 01:00:00.207702
a3c0406b-144f-400a-be57-d947fc787f8c,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 3037 -  01/16/20",5814.25,5814.25,2020-01-31,paid,,
af0195cc-30cb-4e89-85df-8654fca3f755,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",4422.00,0.00,2020-01-31,overdue,,2026-05-07 01:00:00.207702
b294dcce-873d-4e68-b00a-7f5946558e13,e96bc647-6c97-573b-a96c-db1ffc54a83e,"American Express","American Express 01/09/20",5534.72,5534.72,2020-01-31,paid,,
e166c747-97ad-4e13-98d1-fc4242a4ba23,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 3037 - 01/24/2020  Actual $13,857.22",12987.00,12987.00,2020-01-31,paid,,
02d78aca-8947-42be-ad81-ad94fe1700ff,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",12775.00,0.00,2020-02-29,overdue,,2026-05-07 01:00:00.207702
33b281d6-0459-400f-8b8c-81903a1c69a6,77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC","US BANK CC # 5477  02/10/20",153.25,153.25,2020-02-29,paid,,
35db374d-ef61-4eb6-85fe-38ee89a4d0e8,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 1622 - 02/06/20",3821.96,3821.96,2020-02-29,paid,,
695103c2-8231-48b3-a2b9-5b9a20fb2377,77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC","US BANK CC # 5477  02/10/20",3480.12,0.00,2020-02-29,overdue,,2026-05-07 01:00:00.207702
711c657b-ed5c-4faf-8b1b-e44b8f903ee4,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 3037 - 02/18/20",11752.59,11752.59,2020-02-29,paid,,
a2ade42e-c4db-4aa3-87fa-7ad216fa05a9,e96bc647-6c97-573b-a96c-db1ffc54a83e,"American Express","American Express 02/10/20",3841.35,3841.35,2020-02-29,paid,,
b4669786-38cd-42a7-861f-5120e36a94bd,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK -  8125 02/06/20",599.46,599.46,2020-02-29,paid,,
c3e735a3-15b7-478e-9838-15fff7f14a51,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",3278.00,0.00,2020-02-29,overdue,,2026-05-07 01:00:00.207702
eee4b73c-f490-4f69-8234-99e8dddb3023,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  02/23/20",3628.41,0.00,2020-02-29,overdue,,2026-05-07 01:00:00.207702
19c803bc-1363-4244-835e-177aa10a11a5,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  03/25/20",28696.67,0.00,2020-03-31,overdue,,2026-05-07 01:00:00.207702
1c8fc771-75fa-4549-9c97-bbde59da9605,77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC","US BANK CC # 5477  03/09/20",335.78,0.00,2020-03-31,overdue,,2026-05-07 01:00:00.207702
20d8907b-0e94-4369-a6d1-93e5a310d2c4,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK -  8125 03/06/20",3480.12,3480.12,2020-03-31,paid,,
2b8d44bd-599d-44da-ac0d-5aa22c6e0818,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 3037 -  03/16/20",428.82,428.82,2020-03-31,paid,,
2d612782-5d72-4c2f-89e5-209f608ec509,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  03/25/20",13217.00,13217.00,2020-03-31,paid,,
49deeead-2f50-456c-ba08-fad2ff58b9be,e96bc647-6c97-573b-a96c-db1ffc54a83e,"American Express","American Express 03/09/20",3628.41,3628.41,2020-03-31,paid,,
6a4b0d18-32a1-4d84-ad85-0ea65128a73b,01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik","Points Redeemed for Statement Credit TibTsadik",75.00,75.00,2020-03-31,paid,,
7afa639d-5e29-49b8-8b7a-9c9f2f1519f5,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK - 1622 - 03/06/20",590.12,590.12,2020-03-31,paid,,
81b4065d-39eb-41ea-b06e-0e3b95e5c1b3,01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik","Points Redeemed for Statement Credit TibTsadik",16.00,0.00,2020-03-31,overdue,,2026-05-07 01:00:00.207702
98b433d5-97b7-443d-93f3-4abccc191200,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  03/25/20",4422.00,4422.00,2020-03-31,paid,,
